"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case"
"11",0.00881495467481054,0.00853825970668609,0.00912817703146587,0.000555883632960207,0.00124902248393608,0,0.0097125282007101,0.0097125282007101,0.0125780940113804,0.0125780940113804,0.00968406066442943,0.00598736939238379,"Non-Ricardian Agents omega Medium"
"12",0.008711522859868,0.00850671162503062,0.00894337188148228,0.000411468318574743,0.000924533752848343,0,0.00981959774596216,0.00981959774596216,0.0114970206215779,0.0114970206215779,0.00935484020006069,0.0056880009227646,"Non-Ricardian Agents omega Medium"
"13",0.00857914505099503,0.00843675203846169,0.00874033582095831,0.000286069333502287,0.000642773070340363,0,0.00986136599258992,0.00986136599258992,0.0105157351897581,0.0105157351897581,0.0090264051544645,0.00540360087662637,"Non-Ricardian Agents omega Medium"
"14",0.00842271934732977,0.00833434617269301,0.00852275894766101,0.000177542807177751,0.000398923344525157,0,0.00984716138634227,0.00984716138634227,0.00962462255512916,0.00962462255512916,0.00870030175484285,0.00513342083279505,"Non-Ricardian Agents omega Medium"
"15",0.00824654991433703,0.00820475189878599,0.00829386581972973,8.39727331937985e-05,0.00018867947458625,0,0.00978523267423284,0.00978523267423284,0.00881501618451857,0.00881501618451856,0.00837783855292775,0.0048767497911553,"Non-Ricardian Agents omega Medium"
"16",0.00805441198275949,0.0080525964783472,0.00805646715772124,3.64737094582859e-06,8.19532731331524e-06,0,0.00968286491889775,0.00968286491889775,0.00807910341864809,0.00807910341864808,0.00806011452867139,0.00463291230159754,"Non-Ricardian Agents omega Medium"
"17",0.00784961002699786,0.00788194528637102,0.00781300608651939,-6.49619383241563e-05,-0.000145963861416549,0,0.00954648343831271,0.00954648343831271,0.00740984024248052,0.00740984024248052,0.00774804414819961,0.00440126668651766,"Non-Ricardian Agents omega Medium"
"18",0.007635029825097,0.0076963633361436,0.00756559948090902,-0.000123219786665468,-0.000276864212010432,0,0.0093817469091731,0.0093817469091731,0.0068008746193192,0.0068008746193192,0.00744237969424796,0.00418120335219178,"Non-Ricardian Agents omega Medium"
"19",0.00741318503087763,0.00749897034658961,0.00731607492101238,-0.00017234376641114,-0.000387241549216624,0,0.00919363074614205,0.00919363074614205,0.00624647752532238,0.00624647752532238,0.00714373115460565,0.00397214318458219,"Non-Ricardian Agents omega Medium"
"20",0.00718625882439319,0.00729249001693978,0.00706600371203864,-0.000213419787312278,-0.000479535818401799,0,0.00898650175587,0.00898650175587001,0.00574148090827466,0.00574148090827466,0.00685258392473075,0.00377353602535308,"Non-Ricardian Agents omega Medium"
"21",0.0069561411490696,0.00707929410576262,0.00681673037631169,-0.000247415821983973,-0.000555921970380108,0,0.0087641849628874,0.00876418496288741,0.00528122187282675,0.00528122187282675,0.00656931455433206,0.00358485922408543,"Non-Ricardian Agents omega Medium"
"22",0.00672446199194031,0.0068614418504582,0.00656939898378331,-0.000275194239752502,-0.000618337674501953,0,0.008530023413006,0.00853002341300601,0.00486149246486409,0.00486149246486409,0.00629420474403511,0.00340561626288115,"Non-Ricardian Agents omega Medium"
"23",0.00649262111672414,0.00664071520855966,0.00632497664972903,-0.000297522872745235,-0.000668508183201662,0,0.00828693167768536,0.00828693167768536,0.0044784944909953,0.0044784944909953,0.00602745377698802,0.0032353354497371,"Non-Ricardian Agents omega Medium"
"24",0.00626181461757305,0.00641865035299946,0.00608427449463184,-0.000315084943462635,-0.000707968638393851,0,0.00803744370898915,0.00803744370898915,0.00412879886608185,0.00412879886608185,0.00576918955117335,0.00307356867725024,"Non-Ricardian Agents omega Medium"
"25",0.00603305862366113,0.00619656580930947,0.00584796633099675,-0.000328487969949229,-0.000738084080623014,0,0.00778375562842433,0.00778375562842433,0.00380930903290898,0.00380930903290898,0.00551947836105157,0.00291989024338773,"Non-Ricardian Agents omega Medium"
"26",0.00580721045096061,0.00597558758302906,0.00561660531465895,-0.00033827175288781,-0.000760067395373942,0,0.00752776397336518,0.00752776397336518,0.00351722804410521,0.0035172280441052,0.00527833356177509,0.00277389573121834,"Non-Ricardian Agents omega Medium"
"27",0.00558498746716916,0.00575667158993838,0.00539063877373758,-0.000344915538343542,-0.000774995407138722,0,0.00727109987122988,0.00727109987122988,0.00325002893777691,0.00325002893777691,0.0050457232353979,0.00263520094465743,"Non-Ricardian Agents omega Medium"
"28",0.00536698390846326,0.00554062366970454,0.00517042140646432,-0.00034884444036136,-0.000783823310438081,0,0.00701515956348643,0.00701515956348643,0.00300542807550568,0.00300542807550567,0.00482157696610671,0.00250344089742456,"Non-Ricardian Agents omega Medium"
